lat	lon	title	description	icon	iconSize	iconOffset
45.37037	-75.67515	GC16W4Q	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>A Poplar Place</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36107	-75.66732	GCY3N9	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>McCarthy Sinkhole</a><br/>Difficulty: 1.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.374	-75.67696	GC13W8T	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>McCarthy Bridge Troll over Sawmill</a><br/>Difficulty: 2.0/5  Terrain: 3.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37902	-75.67683	GC1QCMM	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>En Route 2: No REcourse?</a><br/>Difficulty: 2.5/5  Terrain: 3.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36897	-75.62313	GC1D4AZ	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG12 Gnome’s Bluelamb03 Pre-4K ODS Puzzle Cache</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3608	-75.63116	GC16DRN	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Monkeys Take Over The World-Lucy</a><br/>Difficulty: 1.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35647	-75.65912	GC1D611	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG12-Dam Well Hidden</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.39668	-75.64465	GC1XM38	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Photographic Memory</a><br/>Difficulty: 5.0/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38997	-75.67175	GCNAT5	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>It points to True North!</a><br/>Difficulty: 2.0/5  Terrain: 1.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.38157	-75.62002	GC1Y88W	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Under Your Power</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35435	-75.65197	GC16DRD	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Monkeys Take Over The World-Ralf</a><br/>Difficulty: 1.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38715	-75.67583	GCKZZB	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Billings at 50</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36035	-75.62669	GC1NAV8	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Walkleigh's Playground</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
